character_id,age,sex,height_cm,weight_kg,strength,reaction,stamina,speed,intelligence,perception,agility,endurance,stress_resistance,luck,panic,fatigue,hunger,thirst,mental_stability,focus,confidence,pain_tolerance,has_flashlight,flashlight_battery,has_knife,has_backpack,has_first_aid_kit,medkit_count,has_water,water_amount,has_food,food_amount,has_radio,level_id,visibility,entity_density,entity_aggression,level_difficulty,resource_density,maze_complexity,geometry_stability,special_rule,spawn_area_danger,distance_to_nearest_entity,noise_generated,time_since_last_encounter,survived_24h,survival_time_hours,escape_probability
1,63,male,193,48,9,2,4,7,10,8,0,2,7,1,57,19,76,81,79,36,67,64,1,97,0,1,1,3,1,3,0,0,0,4,67,29,38,35,64,67,74,liminal_office,44,41,44,8,1,41,0.8
2,26,male,189,130,7,1,6,7,2,2,6,7,2,1,59,57,54,79,35,75,41,73,1,51,1,1,0,0,1,9,0,0,1,5,46,77,46,78,30,64,27,darkness,59,74,32,10,1,110,0.653
3,72,female,183,68,5,3,3,9,7,2,9,0,0,0,42,36,33,53,35,41,50,45,1,92,1,0,1,3,1,10,0,0,1,3,70,36,67,87,45,69,57,cave_isolation,35,5,69,12,1,64,0.361
4,32,male,143,129,2,1,3,9,10,9,10,10,1,8,63,32,9,66,75,53,55,29,0,0,1,0,0,0,1,6,1,9,0,end,77,66,52,61,75,83,87,neutral,28,75,26,24,0,0,0.173
5,35,female,181,73,10,0,10,8,8,3,9,0,9,2,81,76,79,37,31,37,77,63,1,44,0,1,0,0,0,0,1,1,0,2,38,73,42,79,83,54,48,trap_exit,35,25,48,4,0,0,0.245
6,14,male,180,66,7,8,9,3,10,0,5,4,9,6,14,64,40,50,88,27,41,87,1,100,1,1,0,0,1,10,0,0,0,1,77,30,54,75,74,70,82,darkness,76,45,75,10,0,0,0.288
7,33,female,175,114,7,4,1,9,3,1,8,1,2,6,90,35,29,48,41,38,27,49,1,83,0,0,0,0,1,4,0,0,0,7,53,50,45,73,21,49,58,resource_rich,43,17,84,3,1,92,0.575
8,64,female,163,124,8,2,7,4,6,7,1,3,6,3,26,85,40,72,25,74,71,31,1,98,1,0,0,0,0,0,0,0,0,7,47,69,36,85,78,88,68,liminal_office,30,23,26,0,1,109,0.532
9,13,male,144,115,9,2,2,6,5,0,9,2,4,9,13,27,45,79,77,24,24,66,1,48,0,1,0,0,0,0,0,0,1,6,16,60,63,62,20,73,33,neutral,54,87,75,0,1,57,0.659
10,41,male,196,56,9,10,7,8,0,7,2,4,2,7,24,31,8,77,33,41,38,44,1,31,0,1,1,1,0,0,1,6,0,5,50,24,34,73,66,88,71,trap_exit,59,84,57,19,0,0,0.327
11,49,female,206,134,5,8,7,7,7,6,3,1,10,2,56,53,29,24,57,64,84,52,0,0,0,0,0,0,0,0,1,2,0,8,80,32,55,40,72,31,81,resource_rich,71,64,73,5,0,0,0.38
12,13,female,150,69,6,0,0,6,7,1,6,10,8,7,57,37,18,62,59,21,52,61,1,84,0,0,1,1,0,0,1,5,1,2,66,76,46,90,23,38,26,trap_exit,70,82,34,4,0,0,0.224
13,75,male,184,57,10,0,7,2,5,6,10,1,8,1,17,86,25,62,76,52,57,52,1,64,0,1,0,0,0,0,0,0,1,1,82,39,31,72,85,86,52,mechanical_noise,52,18,60,20,1,88,0.634
14,71,male,161,59,5,2,1,2,8,0,8,4,7,2,47,28,8,73,51,88,55,64,1,38,0,0,1,0,1,1,1,4,0,7,23,76,30,89,23,68,79,trap_exit,62,7,41,0,0,0,0.252
15,32,male,150,103,2,10,9,3,7,6,1,3,3,3,74,14,23,47,38,21,81,69,1,34,1,0,1,2,1,6,1,4,0,end,44,59,64,85,83,58,89,liminal_office,70,94,46,6,1,40,0.28
16,44,female,177,40,8,4,5,0,2,8,10,9,2,9,46,11,11,42,40,86,22,80,0,0,1,1,1,2,0,0,0,0,0,end,67,44,60,69,59,82,23,liminal_office,61,58,42,19,1,109,0.596
17,69,female,198,124,0,0,0,6,5,0,2,5,8,0,74,21,69,56,67,85,50,33,0,0,0,0,0,0,0,0,1,5,0,5,53,44,38,73,67,56,74,mechanical_noise,79,62,17,12,1,26,0.315
18,33,male,143,94,4,4,3,8,4,4,4,1,8,3,78,23,64,46,62,42,89,80,0,0,1,0,1,0,0,0,1,6,0,3,47,59,74,74,34,87,40,flooding,59,51,17,23,0,0,0.234
19,60,male,206,136,5,4,6,4,4,7,0,9,0,10,10,36,77,81,60,75,73,45,1,34,0,1,1,2,0,0,0,0,0,2,34,42,68,83,63,79,27,darkness,70,79,26,21,0,0,0.252
20,70,female,149,40,5,5,10,9,7,4,5,10,10,2,41,90,9,44,41,76,85,77,1,38,1,1,0,0,0,0,0,0,0,end,61,64,32,35,31,33,39,haunted_hotel,28,19,85,19,0,0,0.148
21,53,female,158,53,0,7,6,9,5,6,2,8,4,1,63,75,9,68,45,55,20,23,1,99,1,1,1,0,1,1,1,1,0,end,56,35,54,80,27,41,68,mechanical_noise,66,21,50,4,0,0,0.136
22,71,female,167,53,7,0,5,5,10,1,3,9,7,0,15,72,66,81,45,90,78,88,0,0,0,0,0,0,0,0,0,0,0,0,79,28,23,68,46,47,30,trap_exit,42,17,76,19,0,0,0.252
23,26,male,156,129,0,8,4,4,5,0,6,7,5,9,43,18,43,33,21,57,66,24,0,0,1,0,1,5,0,0,1,10,0,0,69,56,46,75,48,42,78,flooding,83,43,60,15,1,109,0.408
24,73,female,163,135,2,10,3,5,8,10,5,0,0,1,19,34,36,21,87,62,81,22,0,0,0,1,1,3,0,0,1,7,0,2,57,28,66,70,57,51,59,neutral,68,69,29,4,1,72,0.413
25,73,female,140,121,7,8,6,0,6,10,10,2,4,10,63,46,49,49,68,58,61,43,0,0,0,1,1,3,0,0,0,0,0,4,71,35,56,42,25,27,84,neutral,62,90,78,10,1,43,0.581
26,58,male,144,46,7,0,4,5,2,4,0,0,6,10,42,58,62,44,84,89,60,61,0,0,0,0,0,0,0,0,0,0,0,end,54,47,41,74,36,32,46,cave_isolation,83,64,76,11,0,0,0.089
27,73,other,171,47,10,5,6,7,10,0,4,5,1,10,40,25,42,52,90,23,78,71,1,31,0,1,0,0,0,0,1,6,1,3,82,78,46,39,27,86,67,liminal_office,29,87,41,21,1,65,0.548
28,62,female,192,120,10,9,0,4,5,3,9,9,4,9,51,16,11,19,33,44,49,73,0,0,1,1,0,0,1,4,1,3,0,4,91,18,45,56,62,67,41,haunted_hotel,53,85,24,5,1,45,0.64
29,66,female,196,84,0,5,6,0,8,8,10,5,4,0,59,33,58,57,60,38,31,25,1,37,0,1,1,4,1,8,0,0,1,5,62,50,56,67,66,63,36,resource_rich,82,34,34,5,0,0,0.216
30,75,female,182,101,10,7,1,4,8,2,10,0,7,8,72,31,79,50,25,62,32,68,1,100,1,0,1,3,0,0,1,6,1,3,65,36,43,67,57,41,51,trap_exit,46,88,21,9,1,67,0.424
31,14,male,178,110,0,7,10,10,6,6,5,3,3,0,82,13,74,14,35,53,50,75,0,0,0,1,0,0,1,3,1,3,0,0,76,31,43,70,22,65,59,haunted_hotel,49,36,66,11,1,120,0.601
32,62,male,173,135,7,1,0,9,8,3,10,0,0,8,86,85,15,21,53,79,53,36,1,88,1,1,0,0,0,0,0,0,1,8,33,62,56,54,35,70,56,neutral,71,77,32,10,1,69,0.324
33,18,male,144,65,1,8,8,1,5,8,9,10,3,5,58,30,53,46,21,62,27,81,0,0,0,1,1,0,1,7,1,1,0,1,32,71,21,60,49,84,38,neutral,83,26,34,15,0,0,0.164
34,32,female,157,111,4,9,3,0,0,5,4,1,6,4,88,28,52,13,76,65,82,59,0,0,0,1,0,0,0,0,1,7,1,end,54,32,45,53,44,58,23,liminal_office,53,23,54,11,0,0,0.12
35,50,male,143,57,7,0,3,4,7,4,10,3,7,8,40,67,37,44,55,85,52,26,1,24,0,0,0,0,1,10,1,5,0,8,80,75,61,64,32,31,22,trap_exit,49,45,83,14,1,36,0.254
36,29,female,209,111,4,4,10,9,6,9,6,4,6,6,30,30,57,70,37,72,87,34,1,49,1,1,1,4,1,10,0,0,0,1,51,40,48,42,22,69,54,haunted_hotel,84,11,37,10,1,78,0.534
37,15,male,150,104,6,9,3,7,10,1,0,10,7,3,32,41,60,77,32,31,52,87,0,0,1,0,1,1,0,0,0,0,1,end,79,48,52,30,29,77,31,haunted_hotel,45,26,23,18,0,0,0.192
38,71,female,186,92,5,1,1,3,6,4,3,5,5,3,54,64,27,23,63,71,48,90,1,55,0,1,0,0,0,0,0,0,1,end,71,46,48,81,71,76,31,cave_isolation,61,8,22,22,0,0,0.086
39,25,female,170,101,4,9,2,4,1,2,5,4,2,4,23,62,20,6,20,23,25,75,1,48,0,1,0,0,0,0,1,10,1,2,32,79,20,63,32,65,46,trap_exit,53,57,64,16,0,0,0.288
40,20,female,152,105,10,0,2,8,10,8,2,6,4,2,52,28,61,23,76,46,89,66,1,73,0,0,0,0,1,4,1,1,1,2,35,49,32,46,78,87,58,flooding,51,46,29,12,0,0,0.263
41,64,female,162,44,2,6,0,8,1,7,10,7,10,2,87,87,81,28,81,39,36,24,0,0,1,0,1,0,1,8,1,9,0,7,24,74,45,68,37,82,35,neutral,53,48,52,9,0,0,0.211
42,13,other,204,129,5,8,7,3,6,2,5,6,5,6,85,21,77,40,80,84,23,26,0,0,0,0,0,0,0,0,1,4,0,end,78,43,46,32,76,74,43,flooding,56,42,39,4,0,0,0.182
43,71,male,207,102,8,1,7,10,3,7,6,9,0,1,61,22,42,5,72,61,62,82,0,0,0,1,1,0,1,10,0,0,0,5,52,51,67,77,59,39,75,neutral,41,17,46,2,0,0,0.266
44,55,male,169,78,6,7,2,5,6,2,4,2,3,1,20,14,5,76,60,38,21,47,0,0,1,0,1,1,0,0,0,0,1,4,75,34,35,78,61,67,86,haunted_hotel,82,49,57,8,1,102,0.585
45,19,male,170,104,9,4,9,1,10,9,3,1,10,0,81,31,65,43,42,73,52,44,1,89,1,0,0,0,0,0,0,0,0,4,65,10,37,75,38,67,52,haunted_hotel,30,89,35,20,1,110,0.717
46,58,female,186,116,0,5,6,2,4,9,10,9,2,1,67,90,20,51,30,50,88,90,1,97,0,0,0,0,1,5,1,2,1,1,50,22,59,90,76,70,34,haunted_hotel,57,55,35,24,0,0,0.22
47,46,male,155,105,4,9,9,0,2,4,6,5,4,8,33,46,5,70,41,42,79,66,1,99,0,1,0,0,1,9,1,10,0,6,31,74,59,66,43,80,47,neutral,73,40,32,16,0,0,0.163
