character_id,age,sex,height_cm,weight_kg,strength,reaction,stamina,speed,intelligence,perception,agility,endurance,stress_resistance,luck,panic,fatigue,hunger,thirst,mental_stability,focus,confidence,pain_tolerance,has_flashlight,flashlight_battery,has_knife,has_backpack,has_first_aid_kit,medkit_count,has_water,water_amount,has_food,food_amount,has_radio,level_id,level_difficulty,visibility,entity_density,entity_aggression,resource_density,maze_complexity,geometry_stability,special_rule,spawn_area_danger,distance_to_nearest_entity,noise_generated,time_since_last_encounter,survived_24h,survival_time_hours,escape_probability
1,37,male,182,77,4,2,4,4,8,5,4,5,2,8,46,38,47,33,48,62,37,49,1,37,0,0,0,0,0,0,0,0,0,3,41,49,34,41,31,62,48,flooding,37,47,21,11,1,126,0.6415
2,17,female,165,61,5,5,6,3,3,5,5,6,5,7,61,46,52,40,53,44,66,72,0,0,1,0,1,5,1,2,1,3,1,5,45,46,50,62,43,61,33,darkness,72,51,35,11,1,75,0.6031
3,43,female,169,63,6,5,7,6,6,8,7,5,4,7,38,38,58,45,49,57,57,39,0,1,1,1,1,4,1,3,0,0,0,0,43,52,58,44,42,64,44,neutral,56,51,30,10,0,9,0.2044
4,31,female,162,67,5,6,5,5,4,7,3,8,4,8,30,52,51,40,67,42,33,37,1,57,1,1,0,0,0,0,0,0,0,3,41,50,48,43,32,79,24,neutral,26,61,33,13,0,4,0.0361
5,21,female,163,60,7,3,4,4,4,3,4,3,4,6,56,61,57,70,42,46,28,40,1,15,0,0,0,0,0,0,0,0,0,6,84,14,28,39,19,67,29,darkness,53,46,19,10,1,103,0.5109
6,41,male,179,86,9,4,5,4,4,3,5,3,7,4,52,50,42,54,51,42,55,68,1,31,1,0,0,0,0,0,0,0,1,0,33,53,54,38,53,43,43,neutral,54,41,37,13,1,168,0.6269
7,16,female,157,69,2,9,6,5,7,10,5,6,5,9,19,28,37,32,62,64,49,30,0,0,0,1,0,0,1,10,0,0,1,1,29,60,18,29,65,50,55,liminal_office,26,75,2,16,1,104,0.8902
8,66,male,176,89,7,4,4,6,5,3,4,4,4,6,70,55,56,49,30,47,38,59,0,0,0,1,0,0,1,4,1,4,1,6,78,10,80,76,26,52,50,neutral,64,13,31,3,0,2,0.0472
9,47,male,174,77,2,8,3,8,5,4,8,4,6,10,10,45,37,29,72,69,37,57,1,73,1,1,1,2,1,8,1,9,1,4,32,65,8,11,66,38,49,liminal_office,10,61,7,19,1,113,0.9263
10,18,male,182,76,7,9,7,7,3,5,5,7,6,7,60,48,62,42,51,38,41,41,1,38,0,1,0,0,0,0,0,0,0,end,64,61,67,63,54,56,30,resource_rich,62,40,36,8,0,2,0.0346
11,21,male,177,101,5,2,5,2,4,8,1,3,4,3,47,46,47,48,43,59,38,56,0,0,0,1,1,5,1,8,1,9,0,0,63,68,29,44,44,56,45,mechanical_noise,39,62,33,12,1,90,0.6512
12,16,male,168,80,3,7,7,8,1,4,7,7,3,4,32,33,32,37,54,45,44,52,1,56,0,0,1,4,1,3,1,6,0,1,13,55,36,24,60,22,64,neutral,35,38,27,12,0,11,0.1518
13,37,male,183,75,4,3,8,5,2,5,6,8,4,4,23,30,23,18,56,61,49,70,0,0,1,1,1,2,0,0,1,4,1,4,27,64,8,31,78,25,52,resource_rich,25,51,5,17,0,7,0.2265
14,29,female,160,57,7,5,7,5,4,5,3,4,3,9,50,39,45,39,41,55,37,40,1,82,1,1,0,0,1,5,0,0,1,0,48,50,28,35,78,59,21,flooding,50,54,33,12,0,3,0.0553
15,57,female,164,60,3,5,7,5,7,5,5,6,4,3,32,32,52,31,72,64,45,78,1,44,0,0,0,0,0,0,1,6,0,0,58,69,35,36,42,53,66,neutral,34,62,22,14,0,1,0.0667
16,35,male,177,79,3,4,7,4,2,6,2,6,2,3,38,39,65,61,57,54,48,57,1,70,0,1,1,3,1,2,1,2,1,3,53,56,25,53,48,74,31,mechanical_noise,46,48,46,9,0,1,0.0357
17,14,female,166,57,6,6,5,4,6,5,3,3,4,2,37,45,50,44,54,58,35,50,0,0,0,1,0,0,0,0,0,0,0,1,46,51,33,42,42,46,74,neutral,26,62,16,10,1,149,0.5196
18,50,other,164,57,4,6,8,6,4,7,6,7,4,5,40,35,53,55,41,58,55,36,0,0,1,1,0,0,1,5,0,0,1,3,46,27,34,49,45,62,32,mechanical_noise,42,50,33,15,0,2,0.0559
19,12,female,168,81,5,8,4,7,5,8,4,2,1,4,69,61,66,60,41,41,61,54,1,33,1,1,0,0,1,9,0,0,0,end,69,59,46,59,46,53,50,resource_rich,66,46,43,11,1,67,0.4261
20,57,male,173,92,7,4,7,5,7,7,5,6,6,6,69,42,29,32,35,49,50,57,0,0,1,0,0,0,1,6,1,7,1,end,91,28,90,78,52,59,28,flooding,79,24,43,6,1,73,0.6431
21,30,female,152,64,4,3,5,5,5,6,5,5,5,5,46,48,41,65,48,47,31,56,1,19,1,1,1,1,1,4,1,3,1,7,56,46,46,67,35,66,36,flooding,36,44,18,13,1,71,0.6923
22,33,male,168,84,2,4,5,7,3,4,6,6,5,6,52,41,39,49,53,53,58,61,1,51,1,1,0,0,0,0,0,0,1,0,57,50,67,44,39,51,35,neutral,51,19,17,6,1,85,0.5236
23,35,male,181,83,6,2,4,6,2,7,4,4,5,7,33,32,42,44,61,48,39,45,1,39,1,1,1,1,0,0,1,7,0,0,33,55,53,41,67,51,47,trap_exit,47,61,30,12,0,23,0.1432
24,41,female,166,60,4,4,3,8,4,7,4,5,2,2,62,50,41,42,41,40,40,19,1,39,0,0,1,2,1,9,0,0,0,end,93,46,66,63,47,72,49,liminal_office,79,15,46,9,0,2,0.0423
25,19,female,157,61,6,5,8,7,6,5,6,7,6,2,67,27,31,36,49,64,52,55,1,41,0,0,1,3,0,0,1,5,0,0,50,62,67,67,47,36,62,liminal_office,54,10,24,8,1,117,0.65
26,31,female,154,71,7,9,7,6,3,5,6,6,6,3,62,56,42,42,53,47,56,39,1,45,0,1,1,1,1,6,1,3,1,end,76,45,73,65,36,40,47,cave_isolation,85,0,31,5,1,77,0.4852
27,33,male,177,92,6,8,5,7,9,9,4,5,7,4,30,43,41,33,65,72,51,26,1,50,1,0,1,4,0,0,0,0,0,1,49,72,33,33,61,45,59,neutral,34,49,29,10,1,62,0.607
28,37,male,178,88,5,8,7,4,7,6,5,6,6,4,38,60,82,41,65,63,59,63,1,30,1,1,1,3,1,5,1,1,0,3,49,57,53,60,34,62,16,darkness,55,52,23,9,1,122,0.6757
29,44,female,163,63,7,3,6,4,6,7,3,6,5,3,32,41,41,54,69,54,44,57,1,12,1,0,0,0,1,3,0,0,0,0,51,36,29,31,58,82,33,flooding,29,64,26,18,1,118,0.7003
30,29,female,166,75,7,6,8,7,3,6,6,7,7,10,51,39,65,47,49,55,51,37,0,0,0,0,1,1,0,0,1,5,0,3,40,53,40,59,40,65,44,resource_rich,52,36,40,7,0,2,0.0431
31,27,male,176,84,6,3,6,4,7,5,5,7,4,4,62,49,46,58,39,50,48,54,0,0,0,1,1,1,1,4,0,0,1,2,53,43,47,71,28,82,38,neutral,61,36,33,9,1,63,0.6285
32,58,male,176,79,5,3,6,4,5,2,4,7,4,2,46,48,67,66,53,34,43,19,1,38,0,0,1,3,0,0,1,7,0,7,72,45,32,31,9,44,39,flooding,39,37,25,12,0,1,0.0485
